PARISH_TOWN_ID,PARISH_TOWN_CODE,PARISH_TOWN,PARISH_TOWN_DISPLAY,UFI,UFI_CREATED
   812,5242,DIAMOND CREEK (T),TOWNSHIP OF DIAMOND CREEK,       10010283,2008/02/28
   816,2523,DIGGORRA,PARISH OF DIGGORRA,       10010287,2008/02/28
   820,2526,DINGEE,PARISH OF DINGEE,       10010291,2008/02/28
   822,2528,DJERRIWARRH,PARISH OF DJERRIWARRH,       10010293,2008/02/28
   826,2531,DOLLIN,PARISH OF DOLLIN,       10010297,2008/02/28
   829,2533,DOODWUK,PARISH OF DOODWUK,       10010300,2008/02/28
   832,2535,DOOKIE,PARISH OF DOOKIE,       10010303,2008/02/28
   835,2538,DOPEWORA,PARISH OF DOPEWORA,       10010306,2008/02/28
   838,5249,DOUGLAS (T),TOWNSHIP OF DOUGLAS,       10010309,2008/02/28
   842,2544,DREEITE,PARISH OF DREEITE,       10010313,2008/02/28
   845,5251,DROMANA (T),TOWNSHIP OF DROMANA,       10010316,2008/02/28
   848,2547,DROUIN EAST,PARISH OF DROUIN EAST,       10010319,2008/02/28
   852,2551,DRUMDLEMARA,PARISH OF DRUMDLEMARA,       10010323,2008/02/28
   856,5254,DRYSDALE (T),TOWNSHIP OF DRYSDALE,       10010327,2008/02/28
   859,2556,DUERAN,PARISH OF DUERAN,       10010330,2008/02/28
   862,2559,DUMBALK,PARISH OF DUMBALK,       10010333,2008/02/28
   865,2561,DUNEED,PARISH OF DUNEED,       10010336,2008/02/28
   868,2563,DUNMORE,PARISH OF DUNMORE,       10010339,2008/02/28
   871,2566,DUNNEWORTHY,PARISH OF DUNNEWORTHY,       10010342,2008/02/28
   875,5258,DURHAM (T),TOWNSHIP OF DURHAM,       10010346,2008/02/28
   878,2569,DURNDAL,PARISH OF DURNDAL,       10010349,2008/02/28
   881,3473B,EAGLEHAWK:AT (SANDHURST),"AT EAGLEHAWK, PARISH OF SANDHURST",       10010352,2008/02/28
   887,2571,ECHUCA NORTH,PARISH OF ECHUCA NORTH,       10010358,2008/02/28
   891,2574,EDDINGTON,PARISH OF EDDINGTON,       10010362,2008/02/28
   894,5266,EDENHOPE (T),TOWNSHIP OF EDENHOPE,       10010365,2008/02/28
   898,2578,EGERTON,PARISH OF EGERTON,       10010369,2008/02/28
   901,2580,EILDON,PARISH OF EILDON,       10010372,2008/02/28
   907,5272,ELDORADO (T),TOWNSHIP OF ELDORADO,       10010378,2008/02/28
   911,2584,ELLERSLIE,PARISH OF ELLERSLIE,       10010382,2008/02/28
   914,2586,ELLIMINYT,PARISH OF ELLIMINYT,       10010385,2008/02/28
   917,2588,ELMORE,PARISH OF ELMORE,       10010388,2008/02/28
   920,5278,ELPHINSTONE (T),TOWNSHIP OF ELPHINSTONE,       10010391,2008/02/28
   924,3084A,ELWOOD:AT (MELBOURNE SOUTH),"AT ELWOOD, PARISH OF MELBOURNE SOUTH",       10010395,2008/02/28
